Date,BFSI
1/1/2018,0.2
1/2/2018,0.195
1/3/2018,0.189
1/4/2018,0.182
1/5/2018,0.175
1/8/2018,0.166
1/9/2018,0.159
1/10/2018,0.154
1/11/2018,0.151
1/12/2018,0.151
1/15/2018,0.154
1/16/2018,0.158
1/17/2018,0.162
1/18/2018,0.166
1/19/2018,0.171
1/22/2018,0.175
1/23/2018,0.18
1/24/2018,0.184
1/25/2018,0.188
1/26/2018,0.191
1/29/2018,0.195
1/30/2018,0.2
1/31/2018,0.206
2/1/2018,0.213
2/2/2018,0.223
2/5/2018,0.24
2/6/2018,0.262
2/7/2018,0.288
2/8/2018,0.321
2/9/2018,0.356
2/12/2018,0.38
2/13/2018,0.397
2/14/2018,0.409
2/15/2018,0.409
2/16/2018,0.398
2/19/2018,0.389
2/20/2018,0.377
2/21/2018,0.365
2/22/2018,0.356
2/23/2018,0.352
2/26/2018,0.35
2/27/2018,0.352
2/28/2018,0.355
3/1/2018,0.362
3/2/2018,0.37
3/5/2018,0.38
3/6/2018,0.39
3/7/2018,0.399
3/8/2018,0.404
3/9/2018,0.406
3/12/2018,0.406
3/13/2018,0.405
3/14/2018,0.404
3/15/2018,0.404
3/16/2018,0.406
3/19/2018,0.41
3/20/2018,0.417
3/21/2018,0.426
3/22/2018,0.441
3/23/2018,0.462
3/26/2018,0.482
3/27/2018,0.504
3/28/2018,0.525
3/29/2018,0.539
3/30/2018,0.546
4/2/2018,0.551
4/3/2018,0.554
4/4/2018,0.552
4/5/2018,0.551
4/6/2018,0.552
4/9/2018,0.551
4/10/2018,0.55
4/11/2018,0.55
4/12/2018,0.549
4/13/2018,0.546
4/16/2018,0.542
4/17/2018,0.534
4/18/2018,0.523
4/19/2018,0.512
4/20/2018,0.502
4/23/2018,0.495
4/24/2018,0.493
4/25/2018,0.495
4/26/2018,0.501
4/27/2018,0.506
4/30/2018,0.512
5/1/2018,0.517
5/2/2018,0.518
5/3/2018,0.519
5/4/2018,0.52
5/7/2018,0.522
5/8/2018,0.525
5/9/2018,0.528
5/10/2018,0.529
5/11/2018,0.527
5/14/2018,0.521
5/15/2018,0.513
5/16/2018,0.505
5/17/2018,0.498
5/18/2018,0.496
5/21/2018,0.497
5/22/2018,0.499
5/23/2018,0.501
5/24/2018,0.503
5/25/2018,0.503
5/29/2018,0.502
5/30/2018,0.502
5/31/2018,0.504
6/1/2018,0.508
6/4/2018,0.511
6/5/2018,0.512
6/6/2018,0.514
6/7/2018,0.513
6/8/2018,0.51
6/11/2018,
6/12/2018,
6/13/2018,
6/14/2018,
6/15/2018,
6/18/2018,
6/19/2018,
6/20/2018,
6/21/2018,
6/22/2018,
6/25/2018,
6/26/2018,
6/27/2018,
6/28/2018,
6/29/2018,
7/2/2018,
7/3/2018,
7/4/2018,
7/5/2018,
7/6/2018,
7/9/2018,
7/10/2018,
7/11/2018,
7/12/2018,
7/13/2018,
7/16/2018,
7/17/2018,
7/18/2018,
7/19/2018,
7/20/2018,
7/23/2018,
7/24/2018,
7/25/2018,
7/26/2018,
7/27/2018,
